Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
Embracer Placeholder,2023-11-16,473,Embracer Group,Publisher,Sweden,Sweden
Blackbird Interactive,2023-11-15,30,,Indie,British Columbia,Canada
Digital Bros Group,2023-11-14,130,,Publisher,Italy,Italy
Kongregate,2023-11-14,20,Modern Times Group,Online,California,Sweden
Humble Games,2023-11-14,,Humble Bundle,Publisher,,United States
Amazon Games,2023-11-13,180,Amazon,Publisher,,United States
Digital Extremes,2023-11-09,30,Leyou,Online,Ottawa,China
Free Radical Design,2023-11-08,80,Embracer Group,Console,England,Sweden
Ubisoft Montreal,2023-11-07,135,Ubisoft,Console,Montreal,France
Cryptic Studios,2023-11-02,,Embracer Group,Online,California,Sweden
Chimera Entertainment,2023-11-02,15,Remote Control Productions,Mobile,Germany,Germany
DR Studios,2023-10-31,,505 Games,Console,England,United States
Bungie,2023-10-30,100,Sony Entertainment,Console,Washington State,Japan
MotorSport Games,2023-10-29,38,MotorSport Network,Console,Florida,United States
LuoBu,2023-10-23,15,Roblox,Online,China,United States
LevelEx,2023-10-23,14,BrainLab,Mobile,Illinois,United States
Media Molecule,2023-10-18,20,Sony Entertainment,Console,England,Japan
PlayStation VASG,2023-10-18,,Sony Entertainment,Console,California,Japan
Sixto Start,2023-10-18,12,OliveX,Mobile,England,Hong Kong
Frontier Developments,2023-10-17,,,Console,England,United Kingdom
Zen Studios,2023-10-13,32,Embracer Group,Console,Hungary,Sweden
ForeVR Games,2023-10-12,5,,AR/VR,California,United States
Drifter Entertainment,2023-10-06,15,,Indie,Washington State,United States
Rogue Games Inc,2023-10-05,10,,Publisher,California,United States
Calypte,2023-10-05,15,Virtuos,Publisher,California,China
Hyper Hippos Entertainment,2023-10-04,30,,Mobile,British Columbia,Canada
Twitch,2023-10-03,35,Amazon,Online,California,United States
Dang!,2023-10-02,5,,Indie,New York,United States
Team17,2023-10-02,,Team17,Publisher,England,England
Fishlabs,2023-09-30,8,Embracer Group,Console,Germany,Sweden
Ubisoft Redstorm,2023-09-28,6,Ubisoft,Publisher,North Carolina,France
Epic Games,2023-09-28,830,Epic,Tech,North Carolina,United States
Other Ocean Interactive,2023-09-27,,Other Ocean Group Inc,Indie,California,United States
Maze Theory,2023-09-27,12,Emergent Entertainment,AR/VR,England,United Kingdom
Noggin,2023-09-27,30,Paramount Global,Online,,United States
Blizzard Entertainment,2023-09-25,10,Activision Blizzard King,Console,California,United States
